Group,Case,Move,Time,Iteration
1,1,13,3,12
1,2,8,1,5
1,3,2,0,1
1,4,7,1,6
1,5,5,0,4
1,6,8,0,4
1,7,8,1,6
1,8,6,0,4
1,9,10,1,9
1,10,12,2,11
1,11,8,1,6
1,12,10,2,8
1,13,11,3,10
1,14,11,2,8
1,15,9,1,8
1,16,9,1,8
1,17,8,1,4
1,18,7,1,6
1,19,14,2,13
1,20,15,3,14
1,21,15,5,14
1,22,12,4,11
1,23,9,1,7
1,24,12,1,10
1,25,9,2,8
1,26,5,0,3
1,27,8,1,5
1,28,12,3,11
1,29,12,2,11
1,30,10,2,9
1,31,8,1,5
1,32,5,1,4
1,33,7,1,6
1,34,11,2,10
1,35,8,2,5
1,36,9,1,6
1,37,8,1,4
1,38,10,1,7
1,39,0,0,0
1,40,10,2,9
2,1,10,2,7
2,2,7,2,6
2,3,13,4,10
2,4,6,1,4
2,5,10,4,6
2,6,13,8,12
2,7,15,9,14
2,8,9,2,6
2,9,7,1,6
2,10,14,7,12
2,11,11,4,10
2,12,8,3,7
2,13,5,0,4
2,14,8,1,7
2,15,10,3,9
2,16,12,3,10
2,17,7,2,5
2,18,9,3,8
2,19,9,3,5
2,20,8,3,7
2,21,11,3,6
2,22,11,2,8
2,23,7,1,5
2,24,11,4,10
2,25,8,0,4
2,26,8,2,7
2,27,5,1,4
2,28,10,2,4
2,29,14,5,12
2,30,11,2,7
2,31,9,3,7
2,32,8,2,4
2,33,12,7,10
2,34,9,2,5
2,35,9,1,7
2,36,10,1,4
2,37,8,1,5
2,38,7,1,4
2,39,7,0,4
2,40,8,3,5
3,1,10,3,5
3,2,12,5,9
3,3,11,5,9
3,4,6,1,3
3,5,14,12,10
3,6,14,5,7
3,7,7,1,3
3,8,14,16,13
3,9,14,10,13
3,10,9,12,7
3,11,15,7,12
3,12,12,2,6
3,13,15,9,13
3,14,7,5,5
3,15,13,10,6
3,16,9,3,3
3,17,12,7,9
3,18,8,8,7
3,19,10,3,5
3,20,13,9,9
3,21,9,4,5
3,22,10,3,6
3,23,10,5,9
3,24,10,7,5
3,25,9,7,8
3,26,10,4,6
3,27,10,2,4
3,28,10,3,6
3,29,12,4,8
3,30,7,5,4
3,31,13,5,8
3,32,8,3,7
3,33,10,4,9
3,34,8,2,6
3,35,10,4,7
3,36,10,6,6
3,37,15,12,13
3,38,5,1,4
3,39,9,7,8
3,40,9,3,8
4,1,13,12,11
4,2,10,5,7
4,3,12,8,7
4,4,10,16,9
4,5,7,3,4
4,6,13,17,10
4,7,16,20,15
4,8,13,10,9
4,9,12,8,8
4,10,9,6,5
4,11,4,0,0
4,12,11,6,8
4,13,10,8,7
4,14,12,10,6
4,15,11,8,10
4,16,15,14,7
4,17,14,9,9
4,18,12,11,11
4,19,12,9,7
4,20,10,9,5
4,21,15,19,9
4,22,13,14,10
4,23,15,10,10
4,24,15,29,8
4,25,9,3,6
4,26,17,29,16
4,27,13,9,7
4,28,9,8,6
4,29,10,7,8
4,30,13,13,11
4,31,11,5,6
4,32,10,7,7
4,33,12,11,8
4,34,12,24,11
4,35,7,4,5
4,36,11,17,10
4,37,11,10,8
4,38,13,21,10
4,39,12,7,7
4,40,11,7,10
5,1,9,4,6
5,2,13,7,8
5,3,14,30,13
5,4,13,15,7
5,5,15,23,8
5,6,14,21,8
5,7,17,59,15
5,8,12,19,11
5,9,13,16,9
5,10,11,16,6
5,11,12,11,7
5,12,13,36,10
5,13,11,4,4
5,14,14,23,9
5,15,10,16,7
5,16,13,23,8
5,17,16,34,12
5,18,13,20,12
5,19,15,33,12
5,20,12,34,11
5,21,13,16,11
5,22,18,33,12
5,23,11,5,6
5,24,8,11,6
5,25,13,21,11
5,26,14,10,4
5,27,16,17,10
5,28,14,46,13
5,29,17,37,13
5,30,15,36,14
5,31,10,24,7
5,32,11,16,9
5,33,16,21,9
5,34,11,16,7
5,35,16,37,11
5,36,11,12,8
5,37,11,2,3
5,38,14,33,12
5,39,9,3,6
5,40,13,7,8
6,1,10,20,5
6,2,14,27,10
6,3,15,22,8
6,4,15,49,12
6,5,17,50,12
6,6,10,9,6
6,7,19,76,15
6,8,16,46,13
6,9,12,19,9
6,10,16,25,8
6,11,12,12,6
6,12,14,16,9
6,13,15,23,11
6,14,15,45,13
6,15,11,23,9
6,16,13,18,6
6,17,13,45,12
6,18,11,10,5
6,19,15,57,11
6,20,15,36,11
6,21,15,58,11
6,22,13,51,10
6,23,12,7,6
6,24,13,32,6
6,25,14,36,7
6,26,18,38,10
6,27,8,17,7
6,28,15,31,11
6,29,17,41,10
6,30,13,32,11
6,31,14,24,10
6,32,15,27,12
6,33,12,7,7
6,34,13,25,9
6,35,17,46,15
6,36,14,29,9
6,37,12,32,9
6,38,18,75,13
6,39,12,5,5
6,40,15,26,7
7,1,13,7,11
7,2,17,13,16
7,3,22,18,20
7,4,15,9,11
7,5,18,11,17
7,6,10,5,8
7,7,21,11,17
7,8,17,12,15
7,9,7,2,4
7,10,16,7,14
7,11,11,5,9
7,12,19,12,18
7,13,23,15,20
7,14,20,16,18
7,15,15,7,12
7,16,24,21,23
7,17,11,4,5
7,18,21,16,19
7,19,20,12,15
7,20,19,9,12
7,21,17,7,14
7,22,13,8,12
7,23,23,14,20
7,24,19,13,18
7,25,23,26,22
7,26,18,13,17
7,27,23,20,22
7,28,17,12,16
7,29,18,16,16
7,30,18,13,16
7,31,18,6,14
7,32,16,12,14
7,33,21,25,19
7,34,16,8,15
7,35,23,16,21
7,36,17,10,15
7,37,16,7,15
7,38,18,12,17
7,39,16,9,13
7,40,16,10,13
8,1,19,18,12
8,2,20,24,19
8,3,21,23,14
8,4,12,12,11
8,5,18,20,14
8,6,19,20,17
8,7,15,17,14
8,8,22,21,21
8,9,20,11,9
8,10,16,13,15
8,11,15,5,6
8,12,18,25,17
8,13,15,11,14
8,14,21,27,20
8,15,23,35,20
8,16,13,10,11
8,17,23,25,14
8,18,18,21,17
8,19,18,20,12
8,20,20,29,19
8,21,20,24,17
8,22,23,35,20
8,23,22,38,21
8,24,18,32,17
8,25,21,30,20
8,26,21,22,15
8,27,17,19,15
8,28,16,15,9
8,29,22,40,21
8,30,22,25,17
8,31,21,25,16
8,32,24,29,14
8,33,19,22,17
8,34,23,34,22
8,35,17,18,12
8,36,13,9,12
8,37,17,24,16
8,38,18,14,13
8,39,22,35,20
8,40,19,29,18
9,1,23,60,19
9,2,13,14,6
9,3,22,42,13
9,4,23,45,18
9,5,19,43,18
9,6,22,52,21
9,7,25,64,20
9,8,17,28,13
9,9,20,52,19
9,10,22,48,14
9,11,20,60,17
9,12,24,66,23
9,13,16,49,13
9,14,18,32,12
9,15,23,54,20
9,16,18,47,17
9,17,20,72,19
9,18,27,87,23
9,19,23,45,16
9,20,21,58,20
9,21,23,42,14
9,22,11,12,7
9,23,13,16,9
9,24,25,76,23
9,25,23,66,21
9,26,17,16,11
9,27,19,22,11
9,28,26,88,25
9,29,19,51,18
9,30,20,46,18
9,31,15,35,13
9,32,22,50,16
9,33,19,57,17
9,34,26,79,25
9,35,23,55,19
9,36,24,74,22
9,37,23,65,22
9,38,16,23,11
9,39,18,49,16
9,40,25,63,23
10,1,22,71,14
10,2,24,106,22
10,3,17,52,15
10,4,25,124,23
10,5,24,104,20
10,6,28,92,20
10,7,27,103,19
10,8,21,80,14
10,9,21,71,16
10,10,25,137,22
10,11,25,100,19
10,12,28,124,19
10,13,21,88,17
10,14,26,77,15
10,15,24,103,20
10,16,15,57,14
10,17,21,84,19
10,18,23,65,14
10,19,23,98,22
10,20,25,108,24
10,21,25,105,23
10,22,27,151,26
10,23,17,37,12
10,24,22,83,15
10,25,23,53,14
10,26,24,103,21
10,27,26,120,22
10,28,28,121,19
10,29,21,71,15
10,30,21,83,19
10,31,24,119,22
10,32,24,119,23
10,33,24,68,13
10,34,22,50,16
10,35,27,147,26
10,36,22,77,21
10,37,25,117,23
10,38,19,49,13
10,39,23,85,18
10,40,23,74,16
11,1,26,30,22
11,2,31,38,29
11,3,29,31,28
11,4,31,36,30
11,5,29,33,24
11,6,21,23,18
11,7,25,30,24
11,8,27,30,25
11,9,30,31,27
11,10,19,11,12
11,11,19,18,18
11,12,33,34,28
11,13,27,29,25
11,14,35,40,34
11,15,28,30,26
11,16,26,23,21
11,17,30,31,27
11,18,15,12,14
11,19,28,30,27
11,20,22,21,21
11,21,30,38,27
11,22,25,23,23
11,23,22,26,21
11,24,28,30,26
11,25,25,22,20
11,26,32,36,30
11,27,25,25,22
11,28,32,38,30
11,29,30,41,29
11,30,22,25,18
11,31,28,28,26
11,32,28,27,27
11,33,25,23,22
11,34,30,33,28
11,35,29,34,28
11,36,27,27,23
11,37,28,28,27
11,38,25,25,23
11,39,27,27,23
11,40,33,37,30
12,1,32,98,31
12,2,35,115,33
12,3,27,81,19
12,4,30,86,28
12,5,28,83,22
12,6,28,66,26
12,7,25,69,22
12,8,23,55,22
12,9,15,20,11
12,10,27,73,26
12,11,26,59,22
12,12,27,74,26
12,13,32,93,27
12,14,30,75,28
12,15,29,64,26
12,16,25,55,20
12,17,28,70,25
12,18,27,80,26
12,19,27,56,25
12,20,25,67,20
12,21,26,54,25
12,22,27,64,20
12,23,24,53,15
12,24,29,74,28
12,25,27,82,26
12,26,34,103,33
12,27,34,102,30
12,28,30,97,26
12,29,32,84,31
12,30,23,54,22
12,31,35,119,34
12,32,28,75,25
12,33,35,94,28
12,34,30,69,28
12,35,30,87,29
12,36,28,62,24
12,37,25,60,21
12,38,24,53,23
12,39,25,56,21
12,40,27,68,26
13,1,35,194,33
13,2,27,150,26
13,3,36,225,35
13,4,35,214,34
13,5,35,210,34
13,6,28,105,18
13,7,30,133,24
13,8,29,140,24
13,9,34,164,32
13,10,34,191,30
13,11,26,99,19
13,12,34,169,26
13,13,34,236,33
13,14,33,149,31
13,15,37,234,36
13,16,29,134,28
13,17,35,152,29
13,18,36,199,32
13,19,29,150,28
13,20,30,150,26
13,21,36,215,34
13,22,30,167,29
13,23,37,203,33
13,24,33,164,32
13,25,31,173,30
13,26,37,163,30
13,27,32,214,31
13,28,32,181,30
13,29,38,257,34
13,30,27,133,26
13,31,30,126,28
13,32,33,181,32
13,33,35,178,28
13,34,36,218,35
13,35,35,166,34
13,36,36,216,34
13,37,32,143,28
13,38,39,238,37
13,39,29,182,27
13,40,35,186,28
14,1,27,186,24
14,2,34,323,32
14,3,38,401,33
14,4,29,189,25
14,5,36,327,32
14,6,35,310,26
14,7,29,216,28
14,8,35,324,29
14,9,33,219,22
14,10,39,469,38
14,11,33,324,31
14,12,38,436,36
14,13,35,388,34
14,14,36,285,25
14,15,34,341,33
14,16,29,333,28
14,17,39,361,37
14,18,37,388,34
14,19,31,232,28
14,20,39,433,37
14,21,33,234,27
14,22,27,210,22
14,23,40,364,37
14,24,36,227,27
14,25,36,271,35
14,26,34,304,32
14,27,41,409,37
14,28,37,284,27
14,29,33,253,29
14,30,40,441,39
14,31,31,302,30
14,32,36,330,35
14,33,35,283,31
14,34,37,358,34
14,35,40,381,39
14,36,35,277,28
14,37,26,163,20
14,38,32,279,27
14,39,38,368,35
14,40,36,358,33
15,1,44,643,39
15,2,34,483,26
15,3,39,556,33
15,4,40,545,31
15,5,43,577,39
15,6,38,583,32
15,7,39,652,37
15,8,36,556,29
15,9,42,560,35
15,10,43,853,40
15,11,44,819,43
15,12,46,843,42
15,13,39,407,24
15,14,42,622,34
15,15,39,536,31
15,16,41,733,34
15,17,31,344,24
15,18,39,566,35
15,19,34,599,32
15,20,48,788,43
15,21,41,713,40
15,22,37,689,36
15,23,40,617,30
15,24,41,716,38
15,25,35,389,28
15,26,36,563,35
15,27,46,737,37
15,28,40,564,33
15,29,32,388,28
15,30,42,643,40
15,31,43,701,39
15,32,42,617,40
15,33,41,595,36
15,34,36,434,24
15,35,38,539,35
15,36,35,526,32
15,37,38,599,36
15,38,36,425,27
15,39,39,423,26
15,40,41,804,40
16,1,44,1159,42
16,2,50,1447,48
16,3,42,871,32
16,4,37,879,30
16,5,39,709,29
16,6,47,1122,40
16,7,50,1324,47
16,8,42,1205,41
16,9,37,1088,36
16,10,39,1033,32
16,11,45,1122,40
16,12,41,849,35
16,13,45,1107,40
16,14,42,958,36
16,15,43,1137,40
16,16,45,926,36
16,17,43,1079,40
16,18,46,1153,43
16,19,42,994,37
16,20,35,1064,33
16,21,35,895,28
16,22,41,1074,40
16,23,40,811,33
16,24,44,910,34
16,25,50,1590,48
16,26,48,1440,46
16,27,49,1004,37
16,28,46,1380,44
16,29,46,988,36
16,30,44,1001,38
16,31,42,998,36
16,32,35,617,29
16,33,47,1321,44
16,34,43,835,34
16,35,39,653,26
16,36,45,1141,43
16,37,36,847,28
16,38,46,1157,41
16,39,52,1564,50
16,40,45,1098,40
17,1,48,1727,41
17,2,46,1866,40
17,3,50,1772,44
17,4,49,1794,42
17,5,47,1528,38
17,6,45,1365,41
17,7,54,2030,48
17,8,50,1866,49
17,9,40,1196,32
17,10,50,1633,44
17,11,46,1757,36
17,12,44,1742,39
17,13,48,2014,39
17,14,50,1578,37
17,15,45,1835,41
17,16,51,2332,48
17,17,52,1938,45
17,18,41,2027,39
17,19,44,1610,40
17,20,46,1547,33
17,21,44,1293,33
17,22,49,1608,38
17,23,43,1628,33
17,24,39,1967,37
17,25,45,1934,44
17,26,42,1622,39
17,27,49,1953,45
17,28,52,1873,45
17,29,44,1941,42
17,30,48,1556,42
17,31,45,1477,42
17,32,38,1431,30
17,33,48,1938,43
17,34,49,1655,38
17,35,47,1557,33
17,36,41,1551,32
17,37,43,1922,42
17,38,48,1927,45
17,39,47,1400,40
17,40,34,1095,33
18,1,42,336,37
18,2,43,344,39
18,3,48,433,46
18,4,43,343,38
18,5,43,404,41
18,6,46,443,45
18,7,47,582,45
18,8,51,694,49
18,9,38,334,37
18,10,37,269,32
18,11,43,368,42
18,12,39,337,33
18,13,43,339,37
18,14,43,424,41
18,15,43,361,41
18,16,38,285,32
18,17,48,398,44
18,18,47,311,39
18,19,42,352,38
18,20,42,375,41
18,21,50,218,25
18,22,49,458,48
18,23,48,446,42
18,24,44,333,41
18,25,37,273,36
18,26,46,414,45
18,27,53,225,28
18,28,41,293,35
18,29,44,417,43
18,30,50,423,48
18,31,49,444,48
18,32,45,454,42
18,33,40,346,39
18,34,46,345,42
18,35,44,380,41
18,36,55,536,52
18,37,44,349,41
18,38,47,446,45
18,39,51,498,49
18,40,47,450,44
19,1,63,3710,55
19,2,61,3611,48
19,3,58,3778,57
19,4,59,3329,47
19,5,65,4613,61
19,6,62,4108,61
19,7,65,4559,64
19,8,68,4662,65
19,9,59,4093,52
19,10,52,3164,50
19,11,60,4822,54
19,12,64,5075,58
19,13,54,3090,44
19,14,63,3791,56
19,15,61,1448,21
19,16,66,4482,59
19,17,61,3924,60
19,18,63,3744,51
19,19,64,4258,58
19,20,62,4430,56
19,21,57,3215,45
19,22,68,4699,58
19,23,60,4570,57
19,24,57,3687,56
19,25,60,3570,52
19,26,59,3631,54
19,27,58,3612,54
19,28,64,4190,54
19,29,64,5264,63
19,30,65,4614,63
19,31,66,4822,60
19,32,67,5140,66
19,33,56,3289,49
19,34,64,4747,63
19,35,55,3644,54
19,36,63,2973,47
19,37,62,4289,59
19,38,64,4478,61
19,39,62,4343,58
19,40,67,4440,63
20,1,112,3019,105
20,2,106,2667,99
20,3,107,2747,106
20,4,111,2535,110
20,5,110,2709,109
20,6,111,2708,107
20,7,115,2476,102
20,8,119,2812,116
20,9,117,3002,110
20,10,114,2937,107
20,11,113,2755,108
20,12,113,2623,105
20,13,113,2629,110
20,14,110,2861,105
20,15,107,2615,97
20,16,118,2666,114
20,17,113,2987,111
20,18,109,2426,99
20,19,112,2650,104
20,20,121,2904,116
20,21,110,1425,61
20,22,113,2801,112
20,23,106,2537,104
20,24,111,2756,102
20,25,120,2392,95
20,26,113,2968,110
20,27,117,2819,106
20,28,113,3011,111
20,29,115,3082,114
20,30,112,2885,105
20,31,114,2825,107
20,32,119,2926,117
20,33,116,2602,114
20,34,119,2810,118
20,35,112,2762,107
20,36,117,2647,105
20,37,113,2637,106
20,38,119,1835,76
20,39,116,2868,115
20,40,111,2664,102
21,1,153,39715,152
21,2,142,36083,140
21,3,151,38288,143
21,4,154,38653,152
21,5,153,38630,147
21,6,151,37746,147
21,7,155,42398,153
21,8,156,40632,154
21,9,146,37229,145
21,10,157,34148,146
21,11,165,41654,159
21,12,153,40966,149
21,13,146,18559,75
21,14,141,36198,140
21,15,147,39669,146
21,16,151,37726,150
21,17,162,41561,158
21,18,157,37879,150
21,19,152,39238,142
21,20,157,39802,153
21,21,152,38641,146
21,22,144,35821,143
21,23,144,36493,136
21,24,150,40675,149
21,25,156,38588,153
21,26,161,41305,151
21,27,150,38445,142
21,28,145,38686,142
21,29,157,38453,150
21,30,149,40454,148
21,31,161,21243,86
21,32,146,37833,142
21,33,153,40248,152
21,34,152,39499,150
21,35,158,39211,152
21,36,158,17387,85
21,37,153,39807,151
21,38,161,25130,107
21,39,156,19364,83
21,40,158,37335,150
